ticket_id,created_at,user_report,risk_category,subcategory,severity,sla_target_hours,region,channel,language,model_confidence,escalation_team,human_review_required,final_action,ticket_summary,risk_rationale,recommended_next_step,sla_note,human_review_note
TKT-0141,2026-04-16 11:04:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Billing dispute,Low,72,Middle East & Africa,API,Spanish,0.57,Billing Operations,True,Close with education,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Low severity — action required within 72 hours.","Human review mandatory. Do not auto-resolve."
TKT-0142,2026-04-24 11:47:00,"I cannot log in and I think my password was changed by someone else",Account abuse,Compromised account,High,4,North America,API,Arabic,0.84,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0143,2026-04-18 10:01:00,"I have been receiving hateful messages about my identity",Harassment,Coordinated harassment,High,4,Latin America,Web form,Japanese,0.62,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0144,2026-03-27 19:45:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Coordinated harassment,High,4,North America,In-app report,Japanese,0.94,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0145,2026-04-05 07:37:00,"Someone logged into my account without my permission",Account abuse,Suspicious login,High,4,North America,In-app report,Spanish,0.91,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0146,2026-01-30 17:26:00,"Someone in a group I follow has posted something concerning",Self-harm concern,Crisis language,High,4,Latin America,Web form,Spanish,0.81,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0147,2026-01-23 19:02:00,"Someone is sharing manipulated images and presenting them as real",Misinformation,Election misinformation,Medium,24,Europe,In-app report,German,0.73,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0148,2026-03-22 23:36:00,"My post was removed and I do not understand why",Policy confusion,Policy clarification,Low,72,Latin America,In-app report,Arabic,0.94,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0149,2026-03-09 22:26:00,"Someone posted my home address and phone number publicly",Privacy concern,Unauthorised sharing,High,4,Asia Pacific,Email,Arabic,0.67,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0150,2026-05-18 12:11:00,"My account was restricted and I want to appeal the decision",Policy confusion,Account restriction query,Low,72,Latin America,API,German,0.64,Content Moderation,True,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review mandatory. Do not auto-resolve."
TKT-0151,2026-02-24 17:47:00,"Someone is sharing manipulated images and presenting them as real",Misinformation,Misleading media,Medium,24,North America,Web form,Arabic,0.78,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0152,2026-05-20 15:41:00,"A post is spreading false information about health treatments",Misinformation,Election misinformation,Medium,24,Middle East & Africa,In-app report,German,0.86,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0153,2026-05-09 16:24:00,"A viral post contains factually incorrect information that could cause harm",Misinformation,Health misinformation,Medium,24,Europe,API,Arabic,0.66,Content Moderation,True,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0154,2026-01-08 21:43:00,"I was charged twice for the same transaction",Billing safety escalation,Unauthorised charge,Medium,24,North America,In-app report,Spanish,0.64,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0155,2026-05-26 06:02:00,"There are messages sent from my account that I did not write",Account abuse,Compromised account,High,4,Middle East & Africa,API,German,0.92,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0156,2026-04-25 04:47:00,"Someone logged into my account without my permission",Account abuse,Credential sharing,High,4,Europe,Web form,French,0.73,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0157,2026-05-06 19:40:00,"I see a charge on my account that I did not authorise",Billing safety escalation,Payment fraud link,Medium,24,Asia Pacific,Web form,English,0.64,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0158,2026-02-23 04:14:00,"A message I received looks like a phishing attempt",Scam or fraud,Fake giveaway,High,4,Latin America,Web form,German,0.92,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0159,2026-01-20 22:56:00,"A user asked someone I know who is under 18 to meet up in person",Child safety concern,Possible grooming,Critical,1,Europe,Email,Japanese,0.77,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0160,2026-04-24 09:26:00,"I think I was tricked into sending money to a fake account",Scam or fraud,Phishing attempt,Medium,24,North America,API,French,0.65,Fraud & Abuse Team,True,Monitor and log,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0161,2026-01-09 16:08:00,"Someone is pretending to be a company representative asking for my details",Scam or fraud,Payment scam,High,4,Latin America,API,French,0.7,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0162,2026-01-23 19:13:00,"I received a suspicious message asking me to click a link to verify my account",Scam or fraud,Phishing attempt,High,4,Europe,Web form,Japanese,0.65,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0163,2026-02-26 06:54:00,"A user posted something that suggests they are in crisis",Self-harm concern,Crisis language,Low,72,Latin America,Email,Arabic,0.63,Trust & Safety Review,True,Close with education,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","Low severity — action required within 72 hours.","Human review mandatory. Do not auto-resolve."
TKT-0164,2026-05-22 16:37:00,"A viral post contains factually incorrect information that could cause harm",Misinformation,Misleading media,High,4,Latin America,Web form,Arabic,0.94,Content Moderation,True,Escalate to specialist,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0165,2026-02-08 23:20:00,"A user has been sending me threatening messages repeatedly",Harassment,Threatening messages,Critical,1,Asia Pacific,In-app report,Japanese,0.74,Trust & Safety Review,True,Immediate action required,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0166,2026-05-23 14:11:00,"A user asked someone I know who is under 18 to meet up in person",Child safety concern,Age verification issue,Critical,1,Asia Pacific,Email,Spanish,0.62,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0167,2026-01-15 14:33:00,"Someone logged into my account without my permission",Account abuse,Credential sharing,High,4,North America,API,Spanish,0.65,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0168,2026-02-15 18:01:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Billing dispute,Medium,24,Asia Pacific,In-app report,Portuguese,0.65,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0169,2026-01-03 05:24:00,"I am not sure which rule my content violated",Policy confusion,Moderation dispute,High,4,North America,In-app report,Japanese,0.59,Content Moderation,True,Escalate to specialist,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0170,2026-01-01 16:27:00,"A viral post contains factually incorrect information that could cause harm",Misinformation,Misleading media,Medium,24,Latin America,Web form,Spanish,0.93,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0171,2026-03-09 16:33:00,"I am seeing content that is very distressing and affecting my wellbeing",Self-harm concern,User concern for another,High,4,Middle East & Africa,API,German,0.78,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0172,2026-01-01 02:01:00,"I received a suspicious message asking me to click a link to verify my account",Scam or fraud,Fake giveaway,High,4,Middle East & Africa,Email,Spanish,0.88,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0173,2026-03-16 06:48:00,"Someone is sharing manipulated images and presenting them as real",Misinformation,Health misinformation,Medium,24,Asia Pacific,Email,Spanish,0.9,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0174,2026-04-28 23:21:00,"A profile seems to be targeting children with suspicious messages",Child safety concern,Possible grooming,Critical,1,North America,API,French,0.62,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0175,2026-04-05 07:53:00,"A bot is flooding a comment section with spam",Platform integrity,Coordinated inauthentic behaviour,Medium,24,Asia Pacific,Web form,Portuguese,0.62,Content Moderation,True,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0176,2026-02-23 01:40:00,"A bot is flooding a comment section with spam",Platform integrity,Bot activity,Medium,24,Latin America,In-app report,Arabic,0.9,Content Moderation,False,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0177,2026-02-12 23:22:00,"Several accounts are posting the same content simultaneously which seems coordinated",Platform integrity,Bot activity,Medium,24,North America,Web form,English,0.93,Content Moderation,False,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0178,2026-03-28 08:38:00,"Someone posted my home address and phone number publicly",Privacy concern,Data request,High,4,Latin America,Email,German,0.58,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0179,2026-05-02 13:58:00,"I saw content in a group that seemed to target young users in an inappropriate way",Child safety concern,Minor account concern,Critical,1,Latin America,API,English,0.66,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0180,2026-04-02 16:27:00,"I saw content in a group that seemed to target young users in an inappropriate way",Child safety concern,Inappropriate content involving minor,Medium,24,North America,API,English,0.82,Child Safety Specialists,True,Monitor and log,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0181,2026-04-27 21:28:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Threatening messages,High,4,Europe,In-app report,Korean,0.81,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0182,2026-03-22 03:06:00,"I see a charge on my account that I did not authorise",Billing safety escalation,Unauthorised charge,Low,72,North America,In-app report,Spanish,0.86,Billing Operations,False,Close with education,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0183,2026-05-27 09:52:00,"There are messages sent from my account that I did not write",Account abuse,Account takeover,High,4,Asia Pacific,API,Spanish,0.92,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0184,2026-02-09 01:28:00,"Someone is pretending to be a company representative asking for my details",Scam or fraud,Fake giveaway,Medium,24,Asia Pacific,Web form,Korean,0.97,Fraud & Abuse Team,False,Monitor and log,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0185,2026-04-02 01:55:00,"There are messages sent from my account that I did not write",Account abuse,Credential sharing,High,4,Latin America,API,Portuguese,0.63,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0186,2026-04-08 01:09:00,"I saw a post from a friend that worries me and I think they need help",Self-harm concern,Crisis language,High,4,Asia Pacific,Web form,Spanish,0.68,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0187,2026-02-23 20:27:00,"My post was removed and I do not understand why",Policy confusion,Moderation dispute,Low,72,Asia Pacific,Web form,Spanish,0.8,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0188,2026-02-02 19:21:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Payment fraud link,Medium,24,Latin America,In-app report,Arabic,0.92,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0189,2026-05-20 10:33:00,"My contact details appear in a public group and I want them removed",Privacy concern,Personal data exposure,High,4,Europe,API,Arabic,0.89,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0190,2026-01-12 11:11:00,"I saw content in a group that seemed to target young users in an inappropriate way",Child safety concern,Age verification issue,Critical,1,Middle East & Africa,Email,Portuguese,0.71,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0191,2026-06-08 20:38:00,"I received a refund request from someone I do not recognise",Billing safety escalation,Payment fraud link,Medium,24,Latin America,Web form,Arabic,0.59,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0192,2026-04-28 15:23:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Billing dispute,Medium,24,Middle East & Africa,Email,English,0.59,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0193,2026-06-05 12:21:00,"A user is sharing private photos of me that I did not give permission to share",Privacy concern,Personal data exposure,High,4,Latin America,API,Arabic,0.94,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0194,2026-01-22 13:48:00,"A post is spreading false information about health treatments",Misinformation,Health misinformation,Medium,24,Europe,Email,French,0.85,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0195,2026-01-13 16:35:00,"A user posted something that suggests they are in crisis",Self-harm concern,Crisis language,High,4,Latin America,Web form,Japanese,0.69,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0196,2026-02-25 04:50:00,"Someone posted my home address and phone number publicly",Privacy concern,Personal data exposure,High,4,Asia Pacific,In-app report,French,0.59,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0197,2026-01-26 01:25:00,"My account was restricted and I want to appeal the decision",Policy confusion,Content removal appeal,Low,72,Middle East & Africa,Web form,English,0.56,Content Moderation,True,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review mandatory. Do not auto-resolve."
TKT-0198,2026-05-25 17:35:00,"A user posted something that suggests they are in crisis",Self-harm concern,Distressing content,High,4,Asia Pacific,API,French,0.85,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0199,2026-06-17 16:54:00,"I see a charge on my account that I did not authorise",Billing safety escalation,Billing dispute,Low,72,Latin America,API,English,0.81,Billing Operations,False,Close with education,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0200,2026-06-13 16:25:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Hate speech,High,4,Asia Pacific,API,English,0.72,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0201,2026-05-15 12:45:00,"I see a charge on my account that I did not authorise",Billing safety escalation,Unauthorised charge,Medium,24,Middle East & Africa,Web form,Arabic,0.6,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0202,2026-02-26 15:10:00,"A viral post contains factually incorrect information that could cause harm",Misinformation,Health misinformation,Medium,24,Asia Pacific,Web form,French,0.55,Content Moderation,True,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0203,2026-04-02 05:02:00,"I cannot log in and I think my password was changed by someone else",Account abuse,Compromised account,High,4,Asia Pacific,Email,French,0.73,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0204,2026-01-31 12:08:00,"Someone is pretending to be a company representative asking for my details",Scam or fraud,Phishing attempt,High,4,North America,Email,Korean,0.63,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0205,2026-02-18 07:59:00,"There are messages sent from my account that I did not write",Account abuse,Compromised account,Medium,24,Europe,Email,Portuguese,0.73,Trust & Safety Review,False,Monitor and log,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0206,2026-04-11 21:03:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Coordinated harassment,High,4,Latin America,In-app report,Japanese,0.93,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0207,2026-05-28 06:10:00,"I was given a warning but I thought my post followed the guidelines",Policy confusion,Policy clarification,Medium,24,Middle East & Africa,API,Spanish,0.81,Content Moderation,False,Monitor and log,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0208,2026-03-05 11:30:00,"My contact details appear in a public group and I want them removed",Privacy concern,Data request,High,4,Middle East & Africa,In-app report,English,0.87,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0209,2026-06-17 14:09:00,"A user has been sending me threatening messages repeatedly",Harassment,Coordinated harassment,High,4,Latin America,In-app report,German,0.76,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
