ticket_id,created_at,user_report,risk_category,subcategory,severity,sla_target_hours,region,channel,language,model_confidence,escalation_team,human_review_required,final_action
TKT-0015,2026-02-05 15:41:00,I want my private information removed from this post.,Privacy concern,deletion_request,Medium,24,Europe,Mobile app,Arabic,0.68,Privacy Review,True,Privacy escalation
TKT-0016,2026-01-25 19:33:00,A user asked me to send payment through a private link.,Scam or fraud,fake_offer,High,4,Africa,Appeal form,Russian,0.82,Fraud and Account Integrity,True,Fraud investigation
TKT-0017,2026-04-18 18:48:00,This account is pretending to be someone else and asking people for money.,Scam or fraud,refund_abuse,High,4,Middle East,In-product report,Spanish,0.91,Fraud and Account Integrity,True,Fraud investigation
TKT-0018,2026-04-13 01:50:00,A user posted my phone number publicly.,Privacy concern,visibility_misconfiguration,Medium,24,UK,Mobile app,German,0.89,Privacy Review,True,Human review required
TKT-0019,2026-04-12 04:28:00,Why was my account feature restricted?,Policy confusion,unclear_policy_application,Medium,24,North America,Email support,Other,0.8,Support / Education,False,No action
TKT-0020,2026-04-12 11:38:00,A user posted something that sounds like they are in crisis.,Self-harm concern,non_immediate_distress,Critical,1,UK,Web form,Arabic,0.73,Trust & Safety Review,True,Human review required
TKT-0021,2026-01-18 14:33:00,Many accounts are posting the same suspicious message repeatedly.,Platform integrity,review_manipulation,Medium,24,UK,Mobile app,German,0.83,Fraud and Account Integrity,False,Fraud investigation
TKT-0022,2026-03-21 20:25:00,Why was my account feature restricted?,Policy confusion,appeal_request,Medium,24,Asia-Pacific,Email support,French,0.63,Support / Education,True,User education
TKT-0023,2026-03-05 21:09:00,I saw a message from a user saying they cannot continue anymore.,Self-harm concern,self_disclosure,Critical,1,Asia-Pacific,Web form,English,0.71,Trust & Safety Review,True,Safety escalation
TKT-0024,2026-03-02 10:22:00,The same scripted message is being posted across many accounts.,Platform integrity,spam_network,High,4,UK,Email support,Spanish,0.77,Fraud and Account Integrity,True,Human review required
TKT-0025,2026-03-22 03:06:00,My personal details are visible where they should not be.,Privacy concern,personal_data_exposure,High,4,Latin America,Live chat,Spanish,0.88,Privacy Review,True,Privacy escalation
TKT-0026,2026-03-22 21:27:00,My recovery email was changed and I did not request it.,Account abuse,unauthorised_login,Medium,24,UK,Email support,French,0.81,Fraud and Account Integrity,False,Account security review
TKT-0027,2026-04-25 14:23:00,A user appears to be trying to build an unsafe relationship with a minor.,Child safety concern,suspected_grooming_signal,Critical,1,Latin America,Appeal form,Arabic,0.94,Child Safety Escalation,True,Human review required
TKT-0028,2026-03-08 00:29:00,A user appears to be trying to build an unsafe relationship with a minor.,Child safety concern,age_appropriate_content_concern,Critical,1,Middle East,Appeal form,Other,0.88,Child Safety Escalation,True,Human review required
TKT-0029,2026-02-17 05:04:00,A user posted something that sounds like they are in crisis.,Self-harm concern,potential_immediate_risk,Critical,1,Global / Unknown,Email support,French,0.91,Trust & Safety Review,True,Human review required
TKT-0030,2026-01-19 14:52:00,I think a minor may be at risk based on this interaction.,Child safety concern,suspected_grooming_signal,Critical,1,Asia-Pacific,Mobile app,Arabic,0.86,Child Safety Escalation,True,Human review required
TKT-0031,2026-04-19 21:04:00,Why was my account feature restricted?,Policy confusion,appeal_request,Low,72,UK,Email support,Other,0.94,Support / Education,False,No action
TKT-0032,2026-03-04 09:02:00,This post is sharing dangerous health advice that could harm people.,Misinformation,manipulated_media,High,4,UK,Web form,French,0.86,Policy Review,True,Human review required
TKT-0033,2026-02-03 00:48:00,This content does not seem appropriate for children.,Child safety concern,suspected_grooming_signal,Critical,1,Latin America,Live chat,Other,0.63,Child Safety Escalation,True,Human review required
TKT-0034,2026-02-27 14:41:00,A user posted something that sounds like they are in crisis.,Self-harm concern,self_disclosure,Critical,1,Africa,Live chat,German,0.7,Trust & Safety Review,True,Human review required
TKT-0035,2026-01-14 09:24:00,This account is pretending to be someone else and asking people for money.,Scam or fraud,phishing_attempt,High,4,North America,Mobile app,Spanish,0.93,Fraud and Account Integrity,True,Human review required
TKT-0036,2026-01-05 01:37:00,I want my private information removed from this post.,Privacy concern,visibility_misconfiguration,Medium,24,Asia-Pacific,Mobile app,Russian,0.8,Privacy Review,True,Human review required
TKT-0037,2026-04-16 03:00:00,I received a suspicious message promising a fake investment return.,Scam or fraud,impersonation,High,4,Global / Unknown,Mobile app,Spanish,0.77,Fraud and Account Integrity,True,Human review required
TKT-0038,2026-01-17 23:50:00,I requested a refund but the situation looks like fraud.,Billing safety escalation,payment_method_misuse,High,4,Middle East,Mobile app,Other,0.7,Fraud and Account Integrity,True,Account security review
TKT-0039,2026-02-04 09:07:00,Can someone explain which rule I broke?,Policy confusion,content_removal_question,Medium,24,Africa,In-product report,Spanish,0.78,Support / Education,False,No action
TKT-0040,2026-01-24 04:27:00,This post is sharing dangerous health advice that could harm people.,Misinformation,health_misinformation,High,4,Europe,Appeal form,Spanish,0.79,Policy Review,True,Content review
TKT-0041,2026-01-21 07:29:00,My address was shared in a comment without my consent.,Privacy concern,doxxing_concern,Medium,24,North America,Mobile app,German,0.81,Privacy Review,True,Human review required
TKT-0042,2026-01-06 04:40:00,A user is spreading misleading safety information.,Misinformation,manipulated_media,Medium,24,Asia-Pacific,Mobile app,German,0.74,Policy Review,True,Policy review
TKT-0043,2026-03-21 03:26:00,I noticed a suspicious charge after my account was accessed.,Billing safety escalation,suspicious_charge,High,4,Middle East,Live chat,German,0.88,Fraud and Account Integrity,True,Account security review
TKT-0044,2026-03-26 08:05:00,A post is making false claims that could lead people to unsafe behaviour.,Misinformation,manipulated_media,High,4,Europe,Email support,Russian,0.63,Policy Review,True,Human review required
TKT-0045,2026-01-06 21:37:00,I received threatening messages from another account.,Harassment,hate_directed_abuse,High,4,Asia-Pacific,Email support,Russian,0.78,Trust & Safety Review,True,Content review
TKT-0046,2026-02-27 08:11:00,The policy explanation was unclear to me.,Policy confusion,feature_restriction_question,Medium,24,UK,Live chat,German,0.87,Support / Education,False,No action
TKT-0047,2026-04-30 07:30:00,My address was shared in a comment without my consent.,Privacy concern,doxxing_concern,High,4,Latin America,Appeal form,Russian,0.85,Privacy Review,True,Privacy escalation
TKT-0048,2026-04-16 00:18:00,I think someone is trying to break into my account repeatedly.,Account abuse,account_recovery_abuse,Medium,24,North America,Appeal form,German,0.74,Fraud and Account Integrity,True,Human review required
TKT-0049,2026-03-28 09:12:00,I noticed a suspicious charge after my account was accessed.,Billing safety escalation,payment_method_misuse,Medium,24,Europe,Live chat,French,0.7,Fraud and Account Integrity,True,Account security review
TKT-0050,2026-01-03 00:25:00,The same scripted message is being posted across many accounts.,Platform integrity,bot_like_activity,High,4,North America,Live chat,Other,0.87,Fraud and Account Integrity,True,Fraud investigation
TKT-0051,2026-02-25 20:42:00,A user appears to be asking for help during a serious emotional crisis.,Self-harm concern,non_immediate_distress,Critical,1,Europe,Live chat,English,0.73,Trust & Safety Review,True,Human review required
TKT-0052,2026-02-17 22:07:00,I do not understand why my post was removed.,Policy confusion,feature_restriction_question,Medium,24,Global / Unknown,Mobile app,Arabic,0.88,Support / Education,False,No action
TKT-0053,2026-04-03 08:00:00,A user posted my phone number publicly.,Privacy concern,deletion_request,High,4,UK,Appeal form,English,0.92,Privacy Review,True,Privacy escalation
TKT-0054,2026-01-01 17:44:00,My address was shared in a comment without my consent.,Privacy concern,personal_data_exposure,High,4,North America,Mobile app,Russian,0.84,Privacy Review,True,Human review required
TKT-0055,2026-03-11 17:57:00,My account settings were changed without my permission.,Account abuse,session_hijack_suspected,High,4,Asia-Pacific,Live chat,Spanish,0.91,Fraud and Account Integrity,True,Account security review
TKT-0056,2026-04-24 18:20:00,Why was my account feature restricted?,Policy confusion,appeal_request,Low,72,North America,Live chat,Other,0.96,Support / Education,False,No action
TKT-0057,2026-04-21 13:35:00,I noticed a suspicious charge after my account was accessed.,Billing safety escalation,payment_method_misuse,High,4,North America,Appeal form,German,0.79,Fraud and Account Integrity,True,Human review required
TKT-0058,2026-02-01 07:06:00,I received a login alert from a location I do not recognise.,Account abuse,session_hijack_suspected,High,4,Global / Unknown,Mobile app,German,0.96,Fraud and Account Integrity,True,Account security review
TKT-0059,2026-02-07 20:15:00,Someone is repeatedly insulting me in comments.,Harassment,repeated_unwanted_contact,High,4,Asia-Pacific,Mobile app,German,0.83,Trust & Safety Review,True,Human review required
TKT-0060,2026-04-13 18:39:00,I requested a refund but the situation looks like fraud.,Billing safety escalation,coerced_payment,High,4,Asia-Pacific,Live chat,Arabic,0.82,Fraud and Account Integrity,True,Account security review
TKT-0061,2026-02-15 15:50:00,This post is sharing dangerous health advice that could harm people.,Misinformation,health_misinformation,Medium,24,Europe,Live chat,Spanish,0.83,Policy Review,False,Policy review
TKT-0062,2026-01-26 14:41:00,A post is making false claims that could lead people to unsafe behaviour.,Misinformation,misleading_claims,Medium,24,North America,Email support,Arabic,0.83,Policy Review,False,Content review
TKT-0063,2026-04-18 04:36:00,I think a minor may be at risk based on this interaction.,Child safety concern,minor_contact_concern,Critical,1,Asia-Pacific,Mobile app,Arabic,0.74,Child Safety Escalation,True,Human review required
TKT-0064,2026-01-21 05:38:00,Why was my account feature restricted?,Policy confusion,unclear_policy_application,Low,72,Europe,Web form,Other,0.81,Support / Education,False,User education
TKT-0065,2026-03-06 00:12:00,My personal details are visible where they should not be.,Privacy concern,deletion_request,High,4,Global / Unknown,Appeal form,English,0.95,Privacy Review,True,Privacy escalation
TKT-0066,2026-02-22 15:47:00,This looks like coordinated fake account activity.,Platform integrity,bot_like_activity,High,4,North America,Live chat,Other,0.8,Fraud and Account Integrity,True,Human review required
TKT-0067,2026-03-29 21:43:00,I received threatening messages from another account.,Harassment,hate_directed_abuse,Medium,24,Global / Unknown,Mobile app,German,0.75,Trust & Safety Review,False,Content review
TKT-0068,2026-04-02 20:38:00,I received a suspicious message promising a fake investment return.,Scam or fraud,impersonation,High,4,Asia-Pacific,Appeal form,Russian,0.74,Fraud and Account Integrity,True,Fraud investigation
TKT-0069,2026-02-01 10:42:00,A user appears to be asking for help during a serious emotional crisis.,Self-harm concern,potential_immediate_risk,High,4,Asia-Pacific,Web form,Other,0.82,Trust & Safety Review,True,Safety escalation
TKT-0070,2026-04-16 12:33:00,The policy explanation was unclear to me.,Policy confusion,feature_restriction_question,Low,72,Europe,Appeal form,German,0.87,Support / Education,False,Policy review
TKT-0071,2026-02-27 17:36:00,Someone changed my password and I cannot access my account.,Account abuse,credential_stuffing_suspected,Medium,24,Global / Unknown,In-product report,Spanish,0.7,Fraud and Account Integrity,True,Account security review
TKT-0072,2026-04-14 05:17:00,A user asked me to send payment through a private link.,Scam or fraud,investment_scam,High,4,Africa,Live chat,Russian,0.95,Fraud and Account Integrity,True,Fraud investigation
TKT-0073,2026-01-28 11:15:00,Someone changed my password and I cannot access my account.,Account abuse,account_recovery_abuse,High,4,Global / Unknown,In-product report,Arabic,0.94,Fraud and Account Integrity,True,Account security review
TKT-0074,2026-04-12 13:25:00,Someone pressured me into making a payment.,Billing safety escalation,refund_dispute_with_fraud_signal,High,4,North America,Web form,Spanish,0.63,Fraud and Account Integrity,True,Human review required
TKT-0075,2026-04-08 08:56:00,The same scripted message is being posted across many accounts.,Platform integrity,fake_account_cluster,Medium,24,North America,Appeal form,Other,0.56,Fraud and Account Integrity,True,Human review required
TKT-0076,2026-03-18 21:03:00,Someone sent me a link that looks like a phishing attempt.,Scam or fraud,fake_offer,High,4,Africa,Live chat,English,0.64,Fraud and Account Integrity,True,Human review required
TKT-0077,2026-01-27 18:12:00,I noticed a suspicious charge after my account was accessed.,Billing safety escalation,refund_dispute_with_fraud_signal,Medium,24,Global / Unknown,Mobile app,Spanish,0.87,Fraud and Account Integrity,True,Account security review
TKT-0078,2026-02-12 18:17:00,I requested a refund but the situation looks like fraud.,Billing safety escalation,coerced_payment,Medium,24,UK,Live chat,Arabic,0.71,Fraud and Account Integrity,True,Account security review
TKT-0079,2026-01-18 19:00:00,Private information about a child was shared publicly.,Child safety concern,minor_privacy_concern,Critical,1,Asia-Pacific,Mobile app,Other,0.88,Child Safety Escalation,True,Human review required
TKT-0080,2026-03-02 04:46:00,A user is spreading misleading safety information.,Misinformation,harmful_instructional_content,High,4,Asia-Pacific,In-product report,French,0.65,Policy Review,True,Human review required
TKT-0081,2026-03-30 19:02:00,A user posted something that sounds like they are in crisis.,Self-harm concern,non_immediate_distress,High,4,North America,Email support,Spanish,0.94,Trust & Safety Review,True,Safety escalation
TKT-0082,2026-01-06 03:08:00,Someone changed my password and I cannot access my account.,Account abuse,account_settings_changed,Medium,24,Africa,Live chat,German,0.65,Fraud and Account Integrity,True,Account security review
TKT-0083,2026-04-16 01:45:00,I requested a refund but the situation looks like fraud.,Billing safety escalation,coerced_payment,Medium,24,Asia-Pacific,Email support,Arabic,0.85,Fraud and Account Integrity,True,Human review required
TKT-0084,2026-03-23 16:30:00,A user keeps sending me unwanted messages after I asked them to stop.,Harassment,threats,Medium,24,Africa,In-product report,German,0.66,Trust & Safety Review,True,Human review required
TKT-0085,2026-02-17 04:31:00,This content does not seem appropriate for children.,Child safety concern,minor_privacy_concern,Critical,1,UK,Live chat,English,0.79,Child Safety Escalation,True,Child safety escalation
TKT-0086,2026-02-16 07:15:00,Why was my account feature restricted?,Policy confusion,content_removal_question,Low,72,Africa,Appeal form,Russian,0.75,Support / Education,False,User education
TKT-0087,2026-03-29 02:03:00,I think a minor may be at risk based on this interaction.,Child safety concern,age_appropriate_content_concern,Critical,1,Asia-Pacific,Mobile app,Arabic,0.64,Child Safety Escalation,True,Human review required
TKT-0088,2026-03-17 20:17:00,Someone is making intimidating comments toward me.,Harassment,intimidation,High,4,Asia-Pacific,Appeal form,Russian,0.83,Trust & Safety Review,True,Content review
TKT-0089,2026-01-16 04:08:00,This content does not seem appropriate for children.,Child safety concern,suspected_grooming_signal,Critical,1,Middle East,Appeal form,French,0.7,Child Safety Escalation,True,Child safety escalation
TKT-0090,2026-04-26 21:37:00,My personal details are visible where they should not be.,Privacy concern,personal_data_exposure,Medium,24,Europe,Web form,Other,0.93,Privacy Review,True,Privacy escalation
TKT-0091,2026-02-06 12:58:00,Someone is repeatedly insulting me in comments.,Harassment,intimidation,High,4,Global / Unknown,Appeal form,Arabic,0.7,Trust & Safety Review,True,Safety escalation
TKT-0092,2026-03-13 16:29:00,Why was my account feature restricted?,Policy confusion,content_removal_question,Medium,24,Asia-Pacific,Email support,Arabic,0.73,Support / Education,True,User education
TKT-0093,2026-02-09 12:10:00,I was charged after suspicious activity appeared on my account.,Billing safety escalation,billing_after_account_takeover,High,4,UK,Live chat,Russian,0.67,Fraud and Account Integrity,True,Fraud investigation
TKT-0094,2026-02-27 13:39:00,I think someone is trying to break into my account repeatedly.,Account abuse,credential_stuffing_suspected,Medium,24,Middle East,Live chat,Russian,0.86,Fraud and Account Integrity,False,Human review required
TKT-0095,2026-03-04 09:56:00,A user asked me to send payment through a private link.,Scam or fraud,impersonation,High,4,Europe,In-product report,German,0.89,Fraud and Account Integrity,True,Fraud investigation
TKT-0096,2026-04-26 19:50:00,Someone is making intimidating comments toward me.,Harassment,hate_directed_abuse,High,4,Global / Unknown,In-product report,Russian,0.87,Trust & Safety Review,True,Safety escalation
TKT-0097,2026-02-04 07:15:00,A user offered a service but asked me to pay outside the platform.,Scam or fraud,impersonation,High,4,Africa,Appeal form,Spanish,0.83,Fraud and Account Integrity,True,Human review required
TKT-0098,2026-05-01 02:15:00,I think someone is trying to break into my account repeatedly.,Account abuse,suspicious_login_attempt,High,4,Latin America,Appeal form,Russian,0.84,Fraud and Account Integrity,True,Human review required
TKT-0099,2026-01-06 16:50:00,My payment method was used without my permission.,Billing safety escalation,billing_after_account_takeover,Medium,24,Africa,Mobile app,Arabic,0.77,Fraud and Account Integrity,True,Fraud investigation
TKT-0100,2026-01-24 06:38:00,The policy explanation was unclear to me.,Policy confusion,account_action_question,Low,72,North America,Mobile app,Other,0.74,Support / Education,True,No action
TKT-0101,2026-04-19 00:50:00,Someone is making intimidating comments toward me.,Harassment,repeated_unwanted_contact,Medium,24,Latin America,In-product report,Russian,0.78,Trust & Safety Review,False,Content review
TKT-0102,2026-01-19 21:29:00,Someone is making intimidating comments toward me.,Harassment,threats,Medium,24,North America,Appeal form,Other,0.92,Trust & Safety Review,False,Human review required
TKT-0103,2026-02-19 03:57:00,This account is pretending to be someone else and asking people for money.,Scam or fraud,off_platform_payment,High,4,UK,Live chat,French,0.92,Fraud and Account Integrity,True,Fraud investigation
TKT-0104,2026-01-05 12:39:00,My payment method was used without my permission.,Billing safety escalation,billing_after_account_takeover,Medium,24,Global / Unknown,Appeal form,French,0.58,Fraud and Account Integrity,True,Account security review
TKT-0105,2026-03-24 19:20:00,Someone said they do not feel safe and may harm themselves.,Self-harm concern,concern_about_other_user,High,4,Global / Unknown,Live chat,English,0.71,Trust & Safety Review,True,Human review required
TKT-0106,2026-03-08 07:25:00,Someone shared private information about me without permission.,Privacy concern,doxxing_concern,Medium,24,Europe,Mobile app,German,0.61,Privacy Review,True,Privacy escalation
TKT-0107,2026-03-02 01:49:00,I am worried that another user may hurt themselves based on their recent messages.,Self-harm concern,concern_about_other_user,High,4,UK,Mobile app,Spanish,0.64,Trust & Safety Review,True,Safety escalation
TKT-0108,2026-03-18 13:15:00,The same scripted message is being posted across many accounts.,Platform integrity,review_manipulation,High,4,Europe,In-product report,Russian,0.76,Fraud and Account Integrity,True,Fraud investigation
TKT-0109,2026-01-31 19:46:00,My payment method was used without my permission.,Billing safety escalation,payment_method_misuse,High,4,North America,Email support,English,0.81,Fraud and Account Integrity,True,Account security review
TKT-0110,2026-01-31 02:44:00,I am worried that another user may hurt themselves based on their recent messages.,Self-harm concern,crisis_language,High,4,Asia-Pacific,In-product report,Arabic,0.73,Trust & Safety Review,True,Safety escalation
TKT-0111,2026-04-10 13:21:00,My account settings were changed without my permission.,Account abuse,session_hijack_suspected,Medium,24,Asia-Pacific,In-product report,Arabic,0.62,Fraud and Account Integrity,True,Account security review
TKT-0112,2026-03-25 06:17:00,I think a minor may be at risk based on this interaction.,Child safety concern,suspected_grooming_signal,Critical,1,Latin America,In-product report,Arabic,0.7,Child Safety Escalation,True,Child safety escalation
TKT-0113,2026-02-28 21:09:00,A user asked me to send payment through a private link.,Scam or fraud,impersonation,High,4,Middle East,Appeal form,French,0.86,Fraud and Account Integrity,True,Fraud investigation
TKT-0114,2026-03-06 06:03:00,This looks like coordinated fake account activity.,Platform integrity,review_manipulation,High,4,UK,Web form,French,0.62,Fraud and Account Integrity,True,Content review
TKT-0115,2026-04-23 16:05:00,Private information about a child was shared publicly.,Child safety concern,minor_privacy_concern,Critical,1,North America,Email support,Russian,0.64,Child Safety Escalation,True,Human review required
TKT-0116,2026-03-01 13:09:00,Private information about a child was shared publicly.,Child safety concern,age_appropriate_content_concern,Critical,1,Middle East,Live chat,Other,0.65,Child Safety Escalation,True,Human review required
TKT-0117,2026-01-04 02:32:00,I do not understand why my post was removed.,Policy confusion,account_action_question,Low,72,UK,Web form,French,0.72,Support / Education,True,Policy review
TKT-0118,2026-02-27 19:19:00,A user is spreading misleading safety information.,Misinformation,health_misinformation,High,4,UK,Appeal form,Arabic,0.95,Policy Review,True,Policy review
TKT-0119,2026-03-30 01:11:00,A user asked me to send payment through a private link.,Scam or fraud,impersonation,High,4,Europe,Email support,Russian,0.68,Fraud and Account Integrity,True,Fraud investigation
TKT-0120,2026-01-09 10:26:00,A user offered a service but asked me to pay outside the platform.,Scam or fraud,advance_fee_scam,High,4,Middle East,Appeal form,German,0.76,Fraud and Account Integrity,True,Fraud investigation
TKT-0121,2026-01-23 05:57:00,Someone is sharing instructions that may cause harm if followed.,Misinformation,health_misinformation,High,4,Middle East,Email support,Spanish,0.85,Policy Review,True,Human review required
TKT-0122,2026-02-16 06:32:00,A user keeps sending me unwanted messages after I asked them to stop.,Harassment,repeated_unwanted_contact,High,4,Global / Unknown,Email support,French,0.94,Trust & Safety Review,True,Safety escalation
TKT-0123,2026-02-24 09:02:00,I am worried that another user may hurt themselves based on their recent messages.,Self-harm concern,concern_about_other_user,Critical,1,UK,In-product report,German,0.88,Trust & Safety Review,True,Safety escalation
TKT-0124,2026-03-21 01:32:00,The policy explanation was unclear to me.,Policy confusion,appeal_request,Medium,24,Europe,In-product report,German,0.73,Support / Education,True,Policy review
TKT-0125,2026-02-24 11:47:00,The same scripted message is being posted across many accounts.,Platform integrity,scripted_abuse,High,4,Global / Unknown,Live chat,Other,0.68,Fraud and Account Integrity,True,Content review
TKT-0126,2026-01-19 20:54:00,This account is pretending to be someone else and asking people for money.,Scam or fraud,phishing_attempt,High,4,Global / Unknown,Appeal form,German,0.65,Fraud and Account Integrity,True,Fraud investigation
TKT-0127,2026-02-05 10:33:00,Someone is sharing instructions that may cause harm if followed.,Misinformation,manipulated_media,Medium,24,Europe,Email support,English,0.66,Policy Review,True,Policy review
TKT-0128,2026-04-23 17:44:00,A group of fake accounts are manipulating reviews.,Platform integrity,bot_like_activity,High,4,Middle East,Email support,English,0.84,Fraud and Account Integrity,True,Content review
TKT-0129,2026-03-02 14:23:00,A user asked me to send payment through a private link.,Scam or fraud,refund_abuse,High,4,Middle East,In-product report,Spanish,0.88,Fraud and Account Integrity,True,Human review required
TKT-0130,2026-03-06 13:27:00,Many accounts are posting the same suspicious message repeatedly.,Platform integrity,spam_network,Medium,24,Latin America,Appeal form,Russian,0.89,Fraud and Account Integrity,False,Content review
TKT-0131,2026-04-30 10:17:00,A user posted something that sounds like they are in crisis.,Self-harm concern,crisis_language,High,4,Europe,Mobile app,Spanish,0.71,Trust & Safety Review,True,Safety escalation
TKT-0132,2026-01-27 05:25:00,Several accounts appear to be bots.,Platform integrity,coordinated_inauthentic_activity,Medium,24,Africa,Web form,Other,0.83,Fraud and Account Integrity,False,Fraud investigation
TKT-0133,2026-01-11 10:07:00,A user offered a service but asked me to pay outside the platform.,Scam or fraud,phishing_attempt,High,4,Africa,Email support,Russian,0.65,Fraud and Account Integrity,True,Fraud investigation
TKT-0134,2026-02-07 00:42:00,Someone said they do not feel safe and may harm themselves.,Self-harm concern,self_disclosure,Critical,1,North America,Web form,Arabic,0.73,Trust & Safety Review,True,Human review required
TKT-0135,2026-02-28 00:37:00,I do not understand why my post was removed.,Policy confusion,appeal_request,Low,72,Global / Unknown,Live chat,Russian,0.79,Support / Education,False,Policy review
TKT-0136,2026-03-29 10:42:00,My address was shared in a comment without my consent.,Privacy concern,visibility_misconfiguration,Medium,24,Latin America,Live chat,English,0.55,Privacy Review,True,Human review required
TKT-0137,2026-02-19 11:42:00,Private information about a child was shared publicly.,Child safety concern,minor_contact_concern,Critical,1,Asia-Pacific,Email support,Spanish,0.94,Child Safety Escalation,True,Human review required
TKT-0138,2026-02-06 02:10:00,I think a minor may be at risk based on this interaction.,Child safety concern,minor_contact_concern,Critical,1,Middle East,Appeal form,Spanish,0.74,Child Safety Escalation,True,Human review required
TKT-0139,2026-04-17 20:06:00,Several accounts appear to be bots.,Platform integrity,scripted_abuse,Medium,24,North America,Web form,Russian,0.87,Fraud and Account Integrity,False,Human review required
TKT-0140,2026-03-23 11:20:00,I think someone is trying to break into my account repeatedly.,Account abuse,account_settings_changed,High,4,North America,Live chat,Spanish,0.8,Fraud and Account Integrity,True,Account security review
TKT-0141,2026-04-08 10:48:00,I think someone is trying to break into my account repeatedly.,Account abuse,credential_stuffing_suspected,Medium,24,UK,Web form,Other,0.69,Fraud and Account Integrity,True,Account security review
TKT-0142,2026-03-08 21:11:00,The policy explanation was unclear to me.,Policy confusion,account_action_question,Low,72,Africa,In-product report,French,0.77,Support / Education,False,Policy review
TKT-0143,2026-01-21 09:10:00,Someone is sharing instructions that may cause harm if followed.,Misinformation,health_misinformation,High,4,Latin America,Mobile app,English,0.94,Policy Review,True,Content review
TKT-0144,2026-04-10 18:27:00,I noticed a suspicious charge after my account was accessed.,Billing safety escalation,coerced_payment,High,4,Global / Unknown,Appeal form,Arabic,0.64,Fraud and Account Integrity,True,Human review required
TKT-0145,2026-04-08 13:48:00,I requested a refund but the situation looks like fraud.,Billing safety escalation,coerced_payment,Medium,24,Africa,Live chat,Spanish,0.66,Fraud and Account Integrity,True,Human review required
TKT-0146,2026-04-15 21:54:00,A user posted my phone number publicly.,Privacy concern,visibility_misconfiguration,High,4,Europe,Live chat,Other,0.7,Privacy Review,True,Privacy escalation
TKT-0147,2026-02-03 20:49:00,A user posted my phone number publicly.,Privacy concern,unauthorised_sharing,High,4,Europe,Mobile app,Russian,0.64,Privacy Review,True,Privacy escalation
TKT-0148,2026-01-07 22:27:00,Someone sent me a link that looks like a phishing attempt.,Scam or fraud,phishing_attempt,High,4,Africa,Web form,Arabic,0.73,Fraud and Account Integrity,True,Human review required
TKT-0149,2026-02-13 22:24:00,A user asked me to send payment through a private link.,Scam or fraud,phishing_attempt,High,4,UK,Email support,French,0.76,Fraud and Account Integrity,True,Human review required
TKT-0150,2026-03-07 06:15:00,A post is making false claims that could lead people to unsafe behaviour.,Misinformation,harmful_instructional_content,High,4,Europe,Appeal form,Other,0.89,Policy Review,True,Policy review
